GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN2.B
Created: Wed Dec 04 16:38:55 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
P31,3.05,2.96,12.28,2.20,2.70,5.48,2.64,3.10,6.32,6.79,1316.28,9.89,7.48,15.90,7.21,7.01,5.08,3.72,4.99,3.04,2.89
Ca43,15.84,16.29,2557.48,15.17,14.52,18.40,19.37,19.02,19.10,17.37,746651.69,19.81,17.18,46.34,13.83,21.59,17.86,16.02,32.18,16.75,16.69
Ti49,0.43,0.42,15.69,0.36,0.27,1.02,1.09,0.51,0.90,1.36,1583400.38,0.59,0.49,0.50,0.44,195.69,0.88,0.52,2.35,0.42,0.38
Y89,8.20,8.18,15.10,4.30,8.48,45.67,70.67,18.06,20.63,21.86,11020.03,38.90,24.73,35.12,39.60,32.53,21.29,11.30,32.15,8.14,8.14
Zr91,18282.82,18256.32,15.40,15129.17,15129.18,15129.97,15129.29,15129.53,15129.38,15129.90,15166.29,15129.47,15129.28,15129.21,15129.19,15129.23,15129.28,15129.18,15129.18,18322.24,18304.23
Zr92,10257.73,10246.51,15.18,8507.77,8484.48,8428.71,8485.72,8524.05,8510.03,8471.66,8606.35,8531.03,8509.23,8477.89,8508.96,8506.03,8487.68,8527.07,8502.71,10313.54,10318.37
Nb93,0.072,0.070,15.78,0.040,0.27,0.16,1.63,0.14,0.11,0.20,4989.37,0.16,0.18,0.15,0.14,0.77,0.43,0.13,1.20,0.068,0.072
La139,0.0036,0.0018,13.55,0.0021,0.0029,0.034,0.17,0.028,0.0046,0.0078,5314.67,0.030,0.016,0.14,0.0033,0.33,0.25,0.023,0.27,0.0030,0.0033
Ce140,0.63,0.62,13.74,0.081,0.095,0.29,4.07,1.19,0.20,0.32,18921.36,0.55,0.44,1.54,0.46,1.38,1.44,0.28,1.73,0.61,0.62
Pr141,0.0050,0.0057,14.41,0.0035,0.0048,0.039,0.16,0.019,0.0095,0.015,2983.46,0.020,0.0092,0.051,0.0069,0.11,0.12,0.022,0.27,0.0055,0.0053
Nd146,0.059,0.060,14.11,0.029,0.045,0.39,0.98,0.12,0.094,0.13,13864.50,0.21,0.091,0.28,0.086,0.58,0.69,0.14,1.49,0.058,0.062
Sm147,0.10,0.095,14.41,0.040,0.077,0.52,0.58,0.13,0.15,0.21,3072.02,0.31,0.15,0.21,0.15,0.40,0.35,0.11,0.67,0.10,0.10
Eu151,0.047,0.046,13.94,0.015,0.045,0.075,0.17,0.039,0.019,0.025,566.67,0.056,0.028,0.089,0.036,0.092,0.11,0.033,0.30,0.048,0.048
Gd157,0.28,0.28,13.99,0.100,0.33,1.53,1.35,0.28,0.55,0.58,2606.47,1.08,0.58,0.77,0.65,1.15,0.67,0.26,1.22,0.29,0.28
Tb159,0.071,0.069,13.60,0.030,0.095,0.41,0.37,0.080,0.16,0.16,382.57,0.31,0.18,0.23,0.22,0.30,0.17,0.075,0.30,0.069,0.070
Dy163,0.69,0.68,14.02,0.36,1.06,4.51,4.56,1.02,1.90,2.00,2352.30,3.66,2.24,2.83,3.03,3.25,1.89,0.88,3.08,0.70,0.69
Ho165,0.23,0.23,14.62,0.14,0.34,1.58,1.94,0.47,0.70,0.74,446.38,1.35,0.84,1.07,1.23,1.09,0.68,0.35,1.05,0.23,0.23
Er166,0.99,0.98,14.30,0.77,1.22,6.84,10.77,2.91,3.14,3.46,1157.96,5.83,3.85,5.09,6.16,4.62,3.15,1.80,4.53,1.00,0.98
Tm169,0.21,0.21,13.97,0.19,0.21,1.37,2.74,0.79,0.63,0.78,148.89,1.13,0.79,1.14,1.36,0.91,0.68,0.43,0.95,0.21,0.21
Yb173,2.02,1.98,14.86,2.03,1.55,12.25,30.56,9.33,5.70,7.15,868.76,9.98,7.12,11.41,13.42,8.04,6.49,4.84,9.13,2.01,2.01
Lu175,0.42,0.41,14.37,0.40,0.25,2.17,7.07,2.25,1.09,1.35,99.42,1.86,1.35,2.40,2.79,1.51,1.27,1.26,1.93,0.41,0.41
Hf177,235.63,234.60,14.19,171.24,314.66,284.13,308.41,343.44,322.04,311.86,572.16,264.56,303.00,273.85,286.91,300.90,363.31,397.47,398.79,235.13,234.91
Hf178,235.94,235.94,14.15,172.31,316.27,280.23,308.14,347.07,325.66,309.68,569.62,267.03,305.10,276.69,288.72,303.32,362.25,396.54,398.31,235.94,235.94
Ta181,0.021,0.022,15.10,0.018,0.23,0.039,0.076,0.021,0.038,0.079,398.90,0.062,0.073,0.033,0.049,0.062,0.072,0.023,0.14,0.023,0.021
Pb204,0.76,0.74,14.66,0.69,0.63,0.69,0.63,0.86,0.88,0.73,87.16,0.67,0.70,0.68,0.58,0.70,0.73,0.65,0.68,0.83,0.75
